,RM355 ZN14 ZN-T,KIT-OFF ZN10 ZN-T,GUIDANCE ZN11 ZN-T,PRINCIPAL ZN11 ZN-T,RM260B ZN11 ZN-T,RM375 ZN14 ZN-T,RM375-02 ZN-T,RM377-01 ZN18 ZN-T,RM361 ZN20 ZN-T,RM116 ZN06 ZN-T,RM138 ZN09 ZN-T,RM260 ZN11 ZN-T,RM303 ZN14 ZN-T,RM305 ZN14 ZN-T,RM307 ZN14 ZN-T,RM309 ZN-T,RM310 ZN09 ZN-T,RM311 ZN14 ZN-T,RM313 ZN14 ZN-T,RM335 ZN18 ZN-T,RM337 ZN18 ZN-T,RM339 ZN18 ZN-T,RM343 ZN18 ZN-T,RM349 ZN20 ZN-T,RM353 ZN-T,RM373 ZN14 ZN-T,RM379 ZN18 ZN-T,RM137 ZN09 ZN-T,RM139 ZN09 ZN-T,RM201 ZN19 ZN-T,RM203 ZN19 ZN-T,RM205 ZN19 ZN-T,RM207 ZN19 ZN-T,RM211 ZN19 ZN-T,RM215 ZN-T,RM222 ZN-T,RM224 ZN-T,RM225 ZN-T,RM226 ZN-T,RM227 ZN-T,RM228 ZN-T,RM230 ZN-T,RM232 ZN-T,RM237 ZN-T,RM241 ZN-T,RM243 ZN-T,RM245 ZN-T,RM247 ZN-T,RM249 ZN-T,RM251 ZN-T,RM253 ZN-T,RM255B ZN-T,RM364A ZN02 ZN-T,RM364B ZN02 ZN-T,RM267 ZN-T,RM271 ZN-T,RM273 ZN-T,RM301 ZN20 ZN-T,RM320 ZN22 ZN-T,RM323 ZN22 ZN-T,RM325 ZN22 ZN-T,RM326 ZN22 ZN-T,RM328 ZN22 ZN-T,RM345 ZN18 ZN-T,RM347 ZN20 ZN-T,RM351 ZN18 ZN-T,RM357 ZN20 ZN-T,RM359- ZN20 ZN-T,RM365 ZN20 ZN-T,RM367 ZN20 ZN-T,RM369 ZN20 ZN-T,RM370 ZN20 ZN-T,RM377 ZN14 ZN-T,RM381 ZN18 ZN-T,Cafe UV08 ZN08 ZN-T,Cafe UV01 ZN08 ZN-T,Cafe UV14 ZN08 ZN-T,Cafe UV02 ZN08ZN-T,FieldHouse-NE ZN1 ZN-T,FieldHouse-NW ZN1 ZN-T,FieldHouse-SE ZN1 ZN-T,FieldHouse-SW ZN1 ZN-T
2018-12-30 00:00:00,65.51117,70.12924,58.1249,58.97554,66.3725,58.75082,60.38559,62.25391,62.66904,59.90726,57.58313,66.37623,64.27789,62.79883,62.90262,61.83871,62.83958,61.73492,62.79883,57.79074,60.17801,60.93051,61.44946,59.86664,57.42743,59.11411,59.55524,58.49133,56.46732,65.70505,64.53735,63.94055,54.68106,62.63022,59.24234,60.30439,60.86135,59.79948,62.11961,61.64651,59.44868,59.61951,64.56706,59.73095,60.3326,59.57745,60.19718,60.4386,62.20771,61.28013,59.83086,60.61988,64.07031,65.00446,62.54995,63.29312,61.22489,65.75699,57.16797,61.24188,63.47348,64.43356,65.39368,61.24188,60.2818,56.05219,59.71091,61.55325,58.75082,59.01031,60.7229,59.91852,58.69891,61.24188,65.80716,66.65067,65.80716,66.65067,57.125,57.125,63.0,57.75
2018-12-30 00:01:08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-12-30 00:10:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.75082,,,,,,,,,,,,,
2018-12-30 00:12:38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-12-30 00:15:00,65.51117,70.12924,58.1249,58.97554,66.3725,58.75082,60.33368,62.40958,62.56525,59.90726,56.98633,66.37623,64.27789,62.79883,62.9545,61.83871,63.04181,61.68301,62.79883,57.79074,60.22989,61.08621,61.55325,59.91852,57.42743,59.11411,59.50333,58.54324,56.83063,65.75699,64.48547,63.96649,54.733,62.63022,61.31424,59.67826,60.02552,59.79948,62.31779,61.64651,59.44868,59.61951,64.76598,59.52843,60.3326,59.57745,60.19718,60.4386,62.20771,61.28013,59.83086,59.37143,64.07031,65.00446,62.54995,63.29312,61.22489,65.70505,56.31165,61.34567,63.52536,64.58926,65.49747,61.24188,60.33368,56.15594,59.71091,61.44946,,59.06219,60.67102,59.86664,58.75082,61.24188,66.31323,66.65067,66.31323,66.65067,57.0625,56.9375,62.8125,57.6875
2018-12-30 00:20:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.75082,,,,,,,,,,,,,
2018-12-30 00:24:08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-12-30 00:30:00,65.51117,70.12924,58.1249,58.97554,66.3725,58.75082,60.33368,62.56525,62.56525,59.90726,58.17996,66.37623,64.22598,62.77289,62.90262,61.83871,63.25349,61.68301,62.77289,57.73883,60.22989,61.08621,61.55325,59.91852,57.37552,59.11411,59.50333,58.59512,56.57114,65.70505,64.43356,63.94055,54.62915,62.63022,60.51358,59.05244,59.62098,59.79948,62.31779,61.64651,59.24867,59.61951,64.76598,59.32862,60.3326,59.57745,60.19718,60.4386,62.20771,61.28013,59.83086,60.55359,64.07031,65.00446,62.24706,63.29312,61.22489,65.70505,56.88254,61.39758,63.62915,64.69305,65.65317,61.24188,60.22989,56.15594,59.65903,61.34567,58.69891,59.01031,60.67102,59.81473,58.69891,61.24188,66.31323,66.65067,66.31323,66.65067,57.03125,56.875,62.6875,57.59375
2018-12-30 00:35:38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-12-30 00:40:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.64703,,,,,,,,,,,,,
